layer,type,shape,params,recommended_mode,w_bits,a_bits,mse,mae,max_abs,cos,baseline_ms,layer_ms,peak_mem_MB
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_q,Linear,"(640, 640)",409600,W8A8,8,8,3.237e-07,0.00036294215,0.00540842115,0.9999998136,2910.9725,2731.305,
up_blocks.0.resnets.1.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8,3.254e-07,0.000280101475,0.00617775415,0.999999827125,2910.9725,2766.25,
down_blocks.3.resnets.1.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8,3.297e-07,0.00025637595000000004,0.005864527075000001,0.999999821725,2910.9725,2762.9075000000003,
up_blocks.1.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8,3.29775e-07,0.0004043846,0.00574321115,0.99999980245,2910.9725,3512.745,
mid_block.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8,3.897e-07,0.00031665957500000004,0.0078853704,0.999999797125,2910.9725,2787.9975,
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A8,8,8,3.9622499999999996e-07,0.000471260875,0.004333477475,0.999999758175,2910.9725,2755.015,
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,4.10525e-07,0.000383802525,0.009221127249999999,0.9999997467,2910.9725,3495.3025,
up_blocks.1.resnets.1.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8,4.637e-07,0.000445548775,0.00899682845,0.9999997342,2910.9725,3477.4449999999997,
up_blocks.1.resnets.2.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8,4.96575e-07,0.000472463175,0.0084712,0.9999997174249999,2910.9725,3430.0125,
up_blocks.2.resnets.1.time_emb_proj,Linear,"(640, 1280)",819840,W8A8,8,8,5.559e-07,0.000538364975,0.007513031375,0.999999633675,2910.9725,2738.6275,
mid_block.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,6.348499999999999e-07,0.00038084877500000003,0.006432373050000001,0.9999996703,2910.9725,2808.6125,
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(640, 640)",409600,W8A8,8,8,7.18475e-07,0.000523684725,0.012384437,0.999999568575,2910.9725,2705.5775,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A8,8,8,7.57825e-07,0.00046731945,0.00953206795,0.999999595,2910.9725,2745.89,
