sample_prompt,seed,layer,type,shape,params,mode,w_bits,a_bits,baseline_ms,layer_ms,peak_mem_MB,mse,mae,max_abs,cos
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,3160.62,2611.43,,0.0007027921,0.0147293815,0.4823396206,0.9996428656
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A16,8,,3160.62,2606.31,,1.00307e-05,0.0016962119,0.0468960702,0.9999948972
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,3160.62,2594.28,,1.56144e-05,0.0020863577,0.060823679,0.9999920589
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W4A16,4,,3160.62,2644.53,,0.0001358699,0.0064312615,0.1617721319,0.9999307811
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,3160.62,2696.14,,0.0001056836,0.0058347238,0.1398735046,0.9999462025
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A16,8,,3160.62,2605.16,,1.3937e-06,0.0006151918,0.0300278664,0.9999992894
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A8,8,8.0,3160.62,2646.96,,1.8641e-06,0.0007747807,0.0256266594,0.99999905
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W4A16,4,,3160.62,2656.07,,0.000339119,0.0110108517,0.2135767341,0.9998270448
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W4A8,4,8.0,3160.62,2625.63,,0.0003291281,0.0108567532,0.2095858455,0.9998321408
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A16,8,,3160.62,2629.81,,1.61317e-05,0.0022594652,0.0662016273,0.9999918413
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A8,8,8.0,3160.62,2626.87,,1.17394e-05,0.0019669258,0.0572609901,0.9999940787
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W4A16,4,,3160.62,2603.24,,0.0016063595,0.0245375726,0.6202316284,0.9991897583
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W4A8,4,8.0,3160.62,2748.12,,0.0015110226,0.0239256993,0.6221580505,0.9992381992
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A16,8,,3160.62,2683.18,,2.6448e-06,0.0010798291,0.0287532806,0.9999986515
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,3160.62,2645.09,,1.51009e-05,0.0021450927,0.0618840456,0.9999923179
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W4A16,4,,3160.62,2680.24,,0.1077123433,0.1979644597,2.879976511,0.9446113075
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,3160.62,2682.47,,0.1104059145,0.2016599327,2.9171333313,0.9432274157
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A16,8,,3160.62,2672.15,,6.75e-07,0.0004025898,0.0161647797,0.9999996558
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,3160.62,2689.51,,2.24341e-05,0.0026349318,0.0662949234,0.999988614
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W4A16,4,,3160.62,2683.68,,2.36705e-05,0.0026757065,0.121284008,0.9999879657
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,3160.62,2672.42,,5.51636e-05,0.0037924934,0.1682443619,0.9999718688
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A16,8,,3160.62,2671.21,,1.7607e-06,0.0006699319,0.0217949152,0.9999991074
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A8,8,8.0,3160.62,2650.51,,2.81597e-05,0.0029083313,0.0730300546,0.9999856563
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W4A16,4,,3160.62,2659.71,,0.0044243941,0.0334392525,1.0695260763,0.9977421587
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W4A8,4,8.0,3160.62,2670.53,,0.0073826872,0.0434430614,1.2181802988,0.9962313654
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A16,8,,3160.62,2646.28,,0.0001317862,0.0057991133,0.18859604,0.9999329944
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A8,8,8.0,3160.62,2673.34,,0.000532962,0.0116054183,0.4021314979,0.9997306055
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W4A16,4,,3160.62,2688.39,,0.0079831034,0.0484611765,2.2250852585,0.9959887095
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W4A8,4,8.0,3160.62,2683.88,,0.0089311861,0.0530259013,2.3112735748,0.9955204016
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A16,8,,3160.62,2667.95,,0.0005403068,0.0122643718,0.3522254527,0.999724661
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,3160.62,2662.43,,0.0006516679,0.0134618571,0.3860533237,0.9996679007
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A16,4,,3160.62,2644.53,,0.0091720223,0.0586074293,1.1419116259,0.9953722516
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,3160.62,2671.92,,0.0093696574,0.0592505708,1.173382163,0.9952726345
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A16,8,,3160.62,2664.92,,1.44745e-05,0.001996641,0.0645121336,0.9999926693
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A8,8,8.0,3160.62,2636.11,,1.42869e-05,0.0019074033,0.0737481117,0.9999927746
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A16,4,,3160.62,2644.02,,0.003556516,0.0386189334,1.120007515,0.9981942107
